,questions,labels
34247,taking bus has a subevent of get angry,No
34248,smoke has a prerequisite of money,No
34249,opposite of hostile has a property of inside,No
34250,smoke has a prerequisite of money,No
34251,smoke has a prerequisite of money,No
34252,hitler is usually located at county fair,No
34253,smoke has a prerequisite of money,No
34254,samoa is part of fancy dress,No
34255,mazar i sharif is part of india,No
34256,smoke has a prerequisite of money,No
34257,smoke has a prerequisite of money,No
34258,washing clothes has a subevent of press buttons,No
34259,smoke has a prerequisite of money,No
34260,smoke has a prerequisite of money,No
34261,have party has a subevent of dreaming,No
34262,get onto web is motivated by a goal of playful,No
34263,smoke has a prerequisite of money,No
34264,smoke has a prerequisite of money,No
34265,smoke has a prerequisite of money,No
34266,go for run is motivated by a goal of entertains,No
34267,smoke has a prerequisite of money,No
34268,smoke has a prerequisite of money,No
34269,eating in restaurant has a subevent of make sound,No
34270,smoke has a prerequisite of money,No
34271,people is usually used for type,No
34272,smoke has a prerequisite of money,No
34273,smoke has a prerequisite of money,No
34274,smoke has a prerequisite of money,No
34275,phase is part of arrow,No
34276,smoke has a prerequisite of money,No
34277,smoke has a prerequisite of money,No
34278,washing hands has a prerequisite of make grocery list,No
34279,smoke has a prerequisite of money,No
34280,smoke has a prerequisite of money,No
34281,smoke has a prerequisite of money,No
34282,smoke has a prerequisite of money,No
34283,smoke has a prerequisite of money,No
34284,smoke has a prerequisite of money,No
34285,coat is usually used for squeeze,No
34286,have checkup has a prerequisite of buy tickets to event,No
34287,smoke has a prerequisite of money,No
34288,smoke has a prerequisite of money,No
34289,smoke has a prerequisite of money,No
34290,smoke has a prerequisite of money,No
34291,sciatic nerve is part of iranian rial,No
34292,smoke has a prerequisite of money,No
34293,listening has a prerequisite of run,No
34294,smoke has a prerequisite of money,No
34295,getting clean has a subevent of use kindling,No
34296,children desires more rice,No
34297,smoke has a prerequisite of money,No
34298,light fire has a prerequisite of take bath,No
34299,smoke has a prerequisite of money,No
34300,go jogging has a prerequisite of get passport,No
34301,hinged door is usually used for cutting down trees,No
34302,smoke has a prerequisite of money,No
34303,smoke has a prerequisite of money,No
34304,smoke has a prerequisite of money,No
34305,pub is usually located at bedroom,No
34306,smoke has a prerequisite of money,No
34307,smoke has a prerequisite of money,No
34308,posting message usually causes laughter,No
34309,smoke has a prerequisite of money,No
34310,boredom has a property of ice,No
34311,smoke has a prerequisite of money,No
34312,cash is usually located at crack house,No
34313,smoke has a prerequisite of money,No
34314,period is part of france,No
34315,udder is part of kansas,No
34316,smoke has a prerequisite of money,No
34317,smoke has a prerequisite of money,No
34318,smoke has a prerequisite of money,No
34319,smoke has a prerequisite of money,No
34320,smoke has a prerequisite of money,No
34321,eyre peninsula is part of new mexico,No
34322,money is usually used for communicating,No
34323,answer questions has a prerequisite of credit card,No
34324,smoke has a prerequisite of money,No
34325,smoke has a prerequisite of money,No
34326,smoke has a prerequisite of money,No
34327,smoke has a prerequisite of money,No
34328,scablands is part of ship,No
34329,smoke has a prerequisite of money,No
34330,smoke has a prerequisite of money,No
34331,smoke has a prerequisite of money,No
34332,smoke has a prerequisite of money,No
34333,smoke has a prerequisite of money,No
34334,smoke has a prerequisite of money,No
34335,oxygen is usually located at river,No
34336,smoke has a prerequisite of money,No
34337,constructor is the opposite of nightmare,No
34338,smoke has a prerequisite of money,No
34339,ball is capable of freeze,No
34340,pottery usually recieves an action of biased,No
34341,fairway is part of harness,No
34342,smoke has a prerequisite of money,No
34343,severn is part of switzerland,No
34344,gregorian calendar month is part of moldboard plow,No
34345,smoke has a prerequisite of money,No
34346,coach causes desire of reach advantage,No
34347,folded clothes is usually located at waste bin,No
34348,smoke has a prerequisite of money,No
34349,smoke has a prerequisite of money,No
34350,smoke has a prerequisite of money,No
34351,smoke has a prerequisite of money,No
34352,smoke has a prerequisite of money,No
34353,listening to radio has a prerequisite of fall asleep,No
34354,smoke has a prerequisite of money,No
34355,involved in accident has a subevent of stopping at stop sign,No
34356,set cup on table is motivated by a goal of like outdoor exercise,No
34357,smoke has a prerequisite of money,No
34358,wrinkles is usually located at opera,No
34359,smoke has a prerequisite of money,No
34360,smoke has a prerequisite of money,No
34361,basilicata is part of person,No
34362,smoke has a prerequisite of money,No
34363,people is capable of cloud mind,No
34364,key is usually used for sit in,No
34365,smoke has a prerequisite of money,No
34366,smoke has a prerequisite of money,No
34367,smoke has a prerequisite of money,No
34368,smoke has a prerequisite of money,No
34369,breathing has a subevent of type message,No
34370,port vila is part of atlantic,No
34371,smoke has a prerequisite of money,No
34372,smoke has a prerequisite of money,No
34373,tape dispenser is usually located at box,No
34374,smoke has a prerequisite of money,No
34375,smoke has a prerequisite of money,No
34376,smoke has a prerequisite of money,No
34377,smoke has a prerequisite of money,No
34378,oreo is usually located at freezer,No
34379,smoke has a prerequisite of money,No
34380,coach airline seat is usually located at computer store,No
34381,smoke has a prerequisite of money,No
34382,do crossword puzzle has a prerequisite of invite people to come,No
34383,playing football usually causes descend,No
34384,analysing usually causes having less money,No
34385,smoke has a prerequisite of money,No
34386,smoke has a prerequisite of money,No
34387,strait of hormuz is part of cranium,No
34388,smoke has a prerequisite of money,No
34389,smoke has a prerequisite of money,No
34390,reading room is part of china,No
34391,smoke has a prerequisite of money,No
34392,smoke has a prerequisite of money,No
34393,haft is part of cassette,No
34394,smoke has a prerequisite of money,No
34395,plate is distinct from second,No
34396,strong is the opposite of giddyup,No
34397,smoke has a prerequisite of money,No
34398,running errands has a subevent of wasting time,No
34399,smoke has a prerequisite of money,No
34400,headline is usually located at purse,No
34401,eating breakfast in bed has a subevent of important news,No
34402,office of naval intelligence is part of england,No
34403,smoke has a prerequisite of money,No
34404,foot is part of borneo,No
34405,smoke has a prerequisite of money,No
34406,smoke has a prerequisite of money,No
34407,smoke has a prerequisite of money,No
34408,smoke has a prerequisite of money,No
34409,vintner is capable of sing to crowd,No
34410,smoke has a prerequisite of money,No
34411,smoke has a prerequisite of money,No
34412,smoke has a prerequisite of money,No
34413,howling with laughter is usually used for lying on,No
34414,smoke has a prerequisite of money,No
34415,smoke has a prerequisite of money,No
34416,table is usually located at plane,No
34417,piston rod is part of alabama,No
34418,gaining more land is usually used for admiring,No
34419,smoke has a prerequisite of money,No
34420,smoke has a prerequisite of money,No
34421,smoke has a prerequisite of money,No
34422,smoke has a prerequisite of money,No
34423,smoke has a prerequisite of money,No
34424,drinking usually causes enjoyment,No
34425,smoke has a prerequisite of money,No
34426,palatine is part of chest of drawers,No
34427,folding door is usually used for playing music,No
34428,pad is part of uterus,No
34429,going on internet has a prerequisite of think,No
34430,having lunch is usually used for sit comfortable,No
34431,smoke has a prerequisite of money,No
34432,smoke has a prerequisite of money,No
34433,smoke has a prerequisite of money,No
34434,listen to radio is motivated by a goal of earn money,No
34435,smoke has a prerequisite of money,No
34436,smoke has a prerequisite of money,No
34437,ecclesiastes is part of visual system,No
34438,smoke has a prerequisite of money,No
34439,smoke has a prerequisite of money,No
34440,smoke has a prerequisite of money,No
34441,movie is usually located at nevada,No
34442,smoke has a prerequisite of money,No
34443,traveling has a subevent of shake butt,No
34444,riding bike has a prerequisite of learn to read,No
34445,centner is part of honshu,No
34446,passenger ticket is usually located at jar,No
34447,smoke has a prerequisite of money,No
34448,ice is usually used for standing on,No
34449,drive car has a subevent of fall down,No
34450,entertaining people has a subevent of set alarm clock,No
34451,smoke has a prerequisite of money,No
34452,smoke has a prerequisite of money,No
34453,smoke has a prerequisite of money,No
34454,smoke has a prerequisite of money,No
34455,smoke has a prerequisite of money,No
34456,smoke has a prerequisite of money,No
34457,smoke has a prerequisite of money,No
34458,front is the opposite of unwrap,No
34459,smoke has a prerequisite of money,No
34460,conceive entails perceive,No
34461,smoke has a prerequisite of money,No
34462,smoke has a prerequisite of money,No
34463,smoke has a prerequisite of money,No
34464,daniel is part of building,No
34465,smoke has a prerequisite of money,No
34466,smoke has a prerequisite of money,No
34467,smoke has a prerequisite of money,No
34468,tooth is part of andes,No
34469,smoke has a prerequisite of money,No
34470,pan is usually used for picture,No
34471,smoke has a prerequisite of money,No
34472,smoke has a prerequisite of money,No
34473,album is usually used for traveling on,No
34474,smoke has a prerequisite of money,No
34475,smoke has a prerequisite of money,No
34476,guitar is usually located at opera,No
34477,buy for loved one has a prerequisite of get job,No
34478,smoke has a prerequisite of money,No
34479,smoke has a prerequisite of money,No
34480,smoke has a prerequisite of money,No
34481,crime causes desire of print on printer,No
34482,lap is part of seattle,No
34483,smoke has a prerequisite of money,No
34484,having sex with has a subevent of read book,No
34485,mechanic is usually located at park,No
34486,smoke has a prerequisite of money,No
34487,smoke has a prerequisite of money,No
34488,smoke has a prerequisite of money,No
34489,smoke has a prerequisite of money,No
34490,smoke has a prerequisite of money,No
34491,smoke has a prerequisite of money,No
34492,smoke has a prerequisite of money,No
34493,smoke has a prerequisite of money,No
34494,smoke has a prerequisite of money,No
34495,smoke has a prerequisite of money,No
34496,freeway is usually located at street corner,No
34497,smoke has a prerequisite of money,No
34498,smoke has a prerequisite of money,No
34499,smoke has a prerequisite of money,No
34500,smoke has a prerequisite of money,No
34501,capable is the opposite of unusual,No
34502,smoke has a prerequisite of money,No
34503,going see play is usually used for fax,No
34504,sit on chair is motivated by a goal of protect country,No
34505,smoke has a prerequisite of money,No
34506,smoke has a prerequisite of money,No
34507,smoke has a prerequisite of money,No
34508,smoke has a prerequisite of money,No
34509,smoke has a prerequisite of money,No
34510,smoke has a prerequisite of money,No
34511,smoke has a prerequisite of money,No
34512,smoke has a prerequisite of money,No
34513,smoke has a prerequisite of money,No
34514,smoke has a prerequisite of money,No
34515,smoke has a prerequisite of money,No
34516,people is capable of provide comfort,No
34517,smoke has a prerequisite of money,No
34518,smoke has a prerequisite of money,No
34519,smoke has a prerequisite of money,No
34520,controversial is the opposite of leptogenic,No
34521,smoke has a prerequisite of money,No
34522,smoke has a prerequisite of money,No
34523,smoke has a prerequisite of money,No
34524,paint picture is motivated by a goal of thirsty,No
34525,smoke has a prerequisite of money,No
34526,people is capable of hold lots of clothes,No
34527,eyelet is part of hogshead,No
34528,smoke has a prerequisite of money,No
34529,smoke has a prerequisite of money,No
34530,smoke has a prerequisite of money,No
34531,smoke has a prerequisite of money,No
34532,smoke has a prerequisite of money,No
34533,smoke has a prerequisite of money,No
34534,hammer is part of maritime provinces,No
34535,smoke has a prerequisite of money,No
34536,smoke has a prerequisite of money,No
34537,smoke has a prerequisite of money,No
34538,residents is usually located at mail,No
34539,smoke has a prerequisite of money,No
34540,smoke has a prerequisite of money,No
34541,smoke has a prerequisite of money,No
34542,having sex has a subevent of get indigestion,No
34543,smoke has a prerequisite of money,No
34544,smoke has a prerequisite of money,No
34545,debating politics has a subevent of hire researcher,No
34546,berkshires is part of poland,No
34547,smoke has a prerequisite of money,No
34548,smoke has a prerequisite of money,No
34549,smoke has a prerequisite of money,No
34550,smoke has a prerequisite of money,No
34551,smoke has a prerequisite of money,No
34552,smoke has a prerequisite of money,No
34553,committing perjury is usually used for selling tickets,No
34554,smoke has a prerequisite of money,No
34555,smoke has a prerequisite of money,No
34556,river is usually located at funeral,No
34557,fault line is part of japan,No
34558,cook is capable of study from books,No
34559,smoke has a prerequisite of money,No
34560,police officer is usually located at suburb,No
34561,smoke has a prerequisite of money,No
34562,smoke has a prerequisite of money,No
34563,smoke has a prerequisite of money,No
34564,smoke has a prerequisite of money,No
34565,smoke has a prerequisite of money,No
34566,comforting friend has a prerequisite of suicidal tendencies,No
34567,smoke has a prerequisite of money,No
34568,smoke has a prerequisite of money,No
34569,smoke has a prerequisite of money,No
34570,smoke has a prerequisite of money,No
34571,waging war has a subevent of fall asleep,No
34572,smoke has a prerequisite of money,No
34573,smoke has a prerequisite of money,No
34574,smoke has a prerequisite of money,No
34575,floor has a property of popular in japan,No
34576,concierge is usually located at bar,No
34577,smoke has a prerequisite of money,No
34578,doing housework is usually used for connecting cities,No
34579,smoke has a prerequisite of money,No
34580,smoke has a prerequisite of money,No
34581,smoke has a prerequisite of money,No
34582,smoke has a prerequisite of money,No
34583,smoke has a prerequisite of money,No
34584,exhaust valve is part of document,No
34585,smoke has a prerequisite of money,No
34586,smoke has a prerequisite of money,No
34587,smoke has a prerequisite of money,No
34588,smoke has a prerequisite of money,No
34589,smoke has a prerequisite of money,No
34590,smoke has a prerequisite of money,No
34591,bosses is usually located at store,No
34592,ohio state university is part of fortification,No
34593,smoke has a prerequisite of money,No
34594,smoke has a prerequisite of money,No
34595,skin care article is usually located at zoo,No
34596,smoke has a prerequisite of money,No
34597,smoke has a prerequisite of money,No
34598,machine is usually used for preparing for testing,No
34599,smoke has a prerequisite of money,No
34600,knit has a prerequisite of go to auditions,No
34601,reading magazine has a subevent of fall off,No
34602,smoke has a prerequisite of money,No
34603,smoke has a prerequisite of money,No
34604,gun is usually used for learning about clothes,No
34605,smoke has a prerequisite of money,No
34606,paisa is part of bit,No
34607,smoke has a prerequisite of money,No
34608,smoke has a prerequisite of money,No
34609,leon is part of suriname,No
34610,salad bowl is usually used for drinking,No
34611,smoke has a prerequisite of money,No
34612,smoke has a prerequisite of money,No
34613,epicardia is part of photoelectric cell,No
34614,tree is usually located at bottle,No
34615,smoke has a prerequisite of money,No
34616,smoke has a prerequisite of money,No
34617,smoke has a prerequisite of money,No
34618,triangle is usually located at store,No
34619,smoke has a prerequisite of money,No
34620,bible is usually located at water,No
34621,spectrum line is part of palate,No
34622,smoke has a prerequisite of money,No
34623,smoke has a prerequisite of money,No
34624,smoke has a prerequisite of money,No
34625,smoke has a prerequisite of money,No
34626,smoke has a prerequisite of money,No
34627,birthday present is usually located at tie store,No
34628,smoke has a prerequisite of money,No
34629,smoke has a prerequisite of money,No
34630,test equipment is usually located at henhouse,No
34631,smoke has a prerequisite of money,No
34632,sublime entails smell,No
34633,smoke has a prerequisite of money,No
34634,ketoacidosis is part of car,No
34635,testament is part of united states,No
34636,smoke has a prerequisite of money,No
34637,smoke has a prerequisite of money,No
34638,smoke has a prerequisite of money,No
34639,greenville is part of lisbon,No
34640,smoke has a prerequisite of money,No
34641,remit entails increase,No
34642,loving another has a subevent of include princes and princesses,No
34643,smoke has a prerequisite of money,No
34644,unbar entails conceive,No
34645,taxi is usually located at grill,No
34646,contemplating usually causes profit,No
34647,airplane is usually located at airport,No
34648,word definitions is usually located at doctors office,No
34649,smoke has a prerequisite of money,No
34650,government is usually located at beach,No
34651,dreams occur when has a property of running,No
34652,smoke has a prerequisite of money,No
34653,hunger causes desire of socialize,No
34654,smoke has a prerequisite of money,No
34655,capitol reef national park is part of stalk,No
34656,fingerboard is part of chimney,No
34657,smoke has a prerequisite of money,No
34658,quarter hour is part of body covering,No
34659,have conversation has a prerequisite of find restroom,No
34660,smoke has a prerequisite of money,No
34661,smoke has a prerequisite of money,No
34662,laser is usually located at corral,No
34663,smoke has a prerequisite of money,No
34664,going for haircut is usually used for ride subway,No
34665,smoke has a prerequisite of money,No
34666,smoke has a prerequisite of money,No
34667,smoke has a prerequisite of money,No
34668,smoke has a prerequisite of money,No
34669,smoke has a prerequisite of money,No
34670,going into coma usually causes side cramps,No
34671,party is usually used for answering door,No
34672,smoke has a prerequisite of money,No
34673,play soccer has a prerequisite of sort clothes,No
34674,go to work has a prerequisite of hit ball,No
34675,humans is capable of deal cards,No
34676,smoke has a prerequisite of money,No
34677,smoke has a prerequisite of money,No
34678,sofa bed is usually used for getting manicure,No
34679,smoke has a prerequisite of money,No
34680,hymn book is usually located at store,No
34681,clothing is usually located at waste bin,No
34682,smoke has a prerequisite of money,No
34683,smoke has a prerequisite of money,No
34684,smoke has a prerequisite of money,No
34685,smoke has a prerequisite of money,No
34686,smoke has a prerequisite of money,No
34687,smoke has a prerequisite of money,No
34688,smoke has a prerequisite of money,No
34689,heaven is the opposite of automatic transmission,No
34690,smoke has a prerequisite of money,No
34691,study is usually located at lake,No
34692,magh is part of iran,No
34693,smoke has a prerequisite of money,No
34694,house is capable of reply to letter,No
34695,smoke has a prerequisite of money,No
34696,smoke has a prerequisite of money,No
34697,smoke has a prerequisite of money,No
34698,smoke has a prerequisite of money,No
34699,tape dispenser is usually located at cave,No
34700,rest is motivated by a goal of were sad,No
34701,smoke has a prerequisite of money,No
34702,smoke has a prerequisite of money,No
34703,smoke has a prerequisite of money,No
34704,smoke has a prerequisite of money,No
34705,helsinki is part of sailing vessel,No
34706,smoke has a prerequisite of money,No
34707,making bread usually causes become educated,No
34708,smoke has a prerequisite of money,No
34709,playing lacrosse usually causes increased knowledge,No
34710,smoke has a prerequisite of money,No
34711,smoke has a prerequisite of money,No
34712,jodhpur is part of united states,No
34713,sing is motivated by a goal of need to relax,No
34714,playing piano has a prerequisite of get on bike,No
34715,hemline is part of honduras,No
34716,smoke has a prerequisite of money,No
34717,smoke has a prerequisite of money,No
34718,smoke has a prerequisite of money,No
34719,sticky floors is usually located at beach,No
34720,smoke has a prerequisite of money,No
34721,smoke has a prerequisite of money,No
34722,having shower has a subevent of sign name,No
34723,smoke has a prerequisite of money,No
34724,flutter kick is part of supernatural,No
34725,checking vital signs has a subevent of put on costume,No
34726,kunlun is part of revolutionary calendar,No
34727,smoke has a prerequisite of money,No
34728,smoke has a prerequisite of money,No
34729,smoke has a prerequisite of money,No
34730,contemplate is motivated by a goal of need money,No
34731,arrive is the opposite of server side,No
34732,soft pedal is part of computer network,No
34733,talk to has a prerequisite of start talking to,No
34734,smoke has a prerequisite of money,No
34735,smoke has a prerequisite of money,No
34736,smoke has a prerequisite of money,No
34737,tirana is part of circulatory system,No
34738,smoke has a prerequisite of money,No
34739,smoke has a prerequisite of money,No
34740,smoke has a prerequisite of money,No
34741,smoke has a prerequisite of money,No
34742,acoustic guitar is usually used for killing,No
34743,alcoholic is capable of sort books,No
34744,smoke has a prerequisite of money,No
34745,smoke has a prerequisite of money,No
34746,smoke has a prerequisite of money,No
34747,take in film has a prerequisite of clean yourself,No
34748,smoke has a prerequisite of money,No
34749,smoke has a prerequisite of money,No
34750,students is capable of flow,No
34751,smoke has a prerequisite of money,No
34752,smoke has a prerequisite of money,No
34753,smoke has a prerequisite of money,No
34754,smoke has a prerequisite of money,No
34755,smoke has a prerequisite of money,No
34756,smoke has a prerequisite of money,No
34757,smoke has a prerequisite of money,No
34758,dancing has a subevent of die,No
34759,smoke has a prerequisite of money,No
34760,egg is usually located at fork in road,No
34761,smoke has a prerequisite of money,No
34762,prince is usually located at forest,No
34763,smoke has a prerequisite of money,No
34764,apple tree is usually located at village,No
34765,smoke has a prerequisite of money,No
34766,black matter is usually located at war,No
34767,smoke has a prerequisite of money,No
34768,smoke has a prerequisite of money,No
34769,play chess has a prerequisite of go outside,No
34770,tease entails extrude,No
34771,smoke has a prerequisite of money,No
34772,e mail is usually used for cool off,No
34773,smoke has a prerequisite of money,No
34774,navigation light is part of australian desert,No
34775,smoke has a prerequisite of money,No
34776,wine and dine entails search,No
34777,smoke has a prerequisite of money,No
34778,smoke has a prerequisite of money,No
34779,smoke has a prerequisite of money,No
34780,smoke has a prerequisite of money,No
34781,smoke has a prerequisite of money,No
34782,cape froward is part of atlantic,No
34783,smoke has a prerequisite of money,No
34784,smoke has a prerequisite of money,No
34785,smoke has a prerequisite of money,No
34786,serving justice is usually used for making music,No
34787,somali peninsula is part of wind instrument,No
34788,smoke has a prerequisite of money,No
34789,seats is usually located at desk,No
34790,smoke has a prerequisite of money,No
34791,smoke has a prerequisite of money,No
34792,smoke has a prerequisite of money,No
34793,prepare for vote has a subevent of go to sleep,No
34794,kivu is part of aircraft carrier,No
34795,smoke has a prerequisite of money,No
34796,smoke has a prerequisite of money,No
34797,cream is usually used for learning teamwork,No
34798,smoke has a prerequisite of money,No
34799,smoke has a prerequisite of money,No
34800,lusitania is part of cucurbita,No
34801,smoke has a prerequisite of money,No
34802,smoke has a prerequisite of money,No
34803,smoke has a prerequisite of money,No
34804,going to mall has a subevent of crash,No
34805,smoke has a prerequisite of money,No
34806,smoke has a prerequisite of money,No
34807,smoke has a prerequisite of money,No
34808,walk has a prerequisite of having tickets for opera,No
34809,liberty island is part of africa,No
34810,drive has a prerequisite of engage in activity,No
34811,howling with laughter has a subevent of falling asleep,No
34812,smoke has a prerequisite of money,No
34813,line is usually located at dump,No
34814,smoke has a prerequisite of money,No
34815,smoke has a prerequisite of money,No
34816,playing poker usually causes discomfort,No
34817,smoke has a prerequisite of money,No
34818,thinking has a prerequisite of strength,No
34819,smoke has a prerequisite of money,No
34820,meditation usually causes popularity,No
34821,smoke has a prerequisite of money,No
34822,watching film usually causes wake spouse,No
34823,seeing exhibits has a subevent of go to bathroom,No
34824,smoke has a prerequisite of money,No
34825,smoke has a prerequisite of money,No
34826,smoke has a prerequisite of money,No
34827,smoke has a prerequisite of money,No
34828,smoke has a prerequisite of money,No
34829,smoke has a prerequisite of money,No
34830,adirondacks is part of resort area,No
34831,smoke has a prerequisite of money,No
34832,smoke has a prerequisite of money,No
34833,smoke has a prerequisite of money,No
34834,smoke has a prerequisite of money,No
34835,smoke has a prerequisite of money,No
34836,smoke has a prerequisite of money,No
34837,smoke has a prerequisite of money,No
34838,chatting with friends has a prerequisite of visit barber,No
34839,offing is part of iraq,No
34840,smoke has a prerequisite of money,No
34841,department store is usually used for drinking out of,No
34842,customer is capable of mean things,No
34843,nanometer is part of tugboat,No
34844,smoke has a prerequisite of money,No
34845,reach tentative agreement has a first subevent of check email,No
34846,smoke has a prerequisite of money,No
34847,smoke has a prerequisite of money,No
34848,smoke has a prerequisite of money,No
34849,smoke has a prerequisite of money,No
34850,rectum is part of paleozoic,No
34851,smoke has a prerequisite of money,No
34852,committing perjury has a subevent of celebration,No
34853,smoke has a prerequisite of money,No
34854,smoke has a prerequisite of money,No
34855,smoke has a prerequisite of money,No
34856,smoke has a prerequisite of money,No
34857,stay healthy has a prerequisite of get matchbox,No
34858,smoke has a prerequisite of money,No
34859,smoke has a prerequisite of money,No
34860,smoke has a prerequisite of money,No
34861,subject usually causes tears in eyes,No
34862,smoke has a prerequisite of money,No
34863,food usually recieves an action of eaten for afters,No
34864,smoke has a prerequisite of money,No
34865,smoke has a prerequisite of money,No
34866,smoke has a prerequisite of money,No
34867,smoke has a prerequisite of money,No
34868,smoke has a prerequisite of money,No
34869,candle is usually used for protecting pillow from dirt,No
34870,smoke has a prerequisite of money,No
34871,smoke has a prerequisite of money,No
34872,smoke has a prerequisite of money,No
34873,smoke has a prerequisite of money,No
34874,smoke has a prerequisite of money,No
34875,smoke has a prerequisite of money,No
34876,smoke has a prerequisite of money,No
34877,resting has a subevent of catch baseball,No
34878,lamp is usually located at drive in movie,No
34879,neighbor is usually located at rest area,No
34880,light match has a prerequisite of go to gym,No
34881,dirt is usually located at kitchen,No
34882,smoke has a prerequisite of money,No
34883,sit down is motivated by a goal of lonely,No
34884,door usually recieves an action of used in wars,No
34885,patron is usually located at kitchen,No
34886,smoke has a prerequisite of money,No
34887,smoke has a prerequisite of money,No
34888,smoke has a prerequisite of money,No
34889,smoke has a prerequisite of money,No
34890,smoke has a prerequisite of money,No
34891,brick row house is usually located at town,No
34892,cool off has a subevent of score goal,No
34893,smoke has a prerequisite of money,No
34894,have shower has a prerequisite of have company,No
34895,smoke has a prerequisite of money,No
34896,medical doctor is capable of wind watch,No
34897,bit is part of italy,No
34898,smoke has a prerequisite of money,No
34899,inclusion is the opposite of gunzip,No
34900,help has a prerequisite of have children,No
34901,smoke has a prerequisite of money,No
34902,smoke has a prerequisite of money,No
34903,smoke has a prerequisite of money,No
34904,singing has a subevent of learn to swim,No
34905,smoke has a prerequisite of money,No
34906,smoke has a prerequisite of money,No
34907,nipple is part of reproductive cycle,No
34908,smoke has a prerequisite of money,No
34909,bulb is usually located at shopping mall,No
34910,electricity is capable of machine parts,No
34911,old is the opposite of disorientation,No
34912,smoke has a prerequisite of money,No
34913,smoke has a prerequisite of money,No
34914,smoke has a prerequisite of money,No
34915,smoke has a prerequisite of money,No
34916,english channel is usually used for planting crops,No
34917,changing appearance has a subevent of raising interest rates,No
34918,smoke has a prerequisite of money,No
34919,smoke has a prerequisite of money,No
34920,smoke has a prerequisite of money,No
34921,smoke has a prerequisite of money,No
34922,apparatus is usually used for move heavy objects,No
34923,go see play has a prerequisite of talk to people,No
34924,smoke has a prerequisite of money,No
34925,matrix is part of pacific,No
34926,smoke has a prerequisite of money,No
34927,conning tower is part of australia,No
34928,prolate is the opposite of subtract,No
34929,smoke has a prerequisite of money,No
34930,viewing video usually causes cry,No
34931,smoke has a prerequisite of money,No
34932,smoke has a prerequisite of money,No
34933,tianjin is part of gestalt psychology,No
34934,calyx is part of book,No
34935,smoke has a prerequisite of money,No
34936,smoke has a prerequisite of money,No
34937,smoke has a prerequisite of money,No
34938,smoke has a prerequisite of money,No
34939,smoke has a prerequisite of money,No
34940,room is part of westminster,No
34941,smoke has a prerequisite of money,No
34942,smoke has a prerequisite of money,No
34943,smoke has a prerequisite of money,No
34944,committing perjury is usually used for go to bathroom,No
34945,smoke has a prerequisite of money,No
34946,climax is part of united states,No
34947,smoke has a prerequisite of money,No
34948,smoke has a prerequisite of money,No
34949,watching tv show has a prerequisite of memory,No
34950,roof is part of pneumatic tire,No
34951,do housework has a prerequisite of become waiter,No
34952,smoking has a subevent of buy popcorn,No
34953,shelf is usually located at store window,No
34954,smoke has a prerequisite of money,No
34955,smoke has a prerequisite of money,No
34956,have physical examination is motivated by a goal of had good voice,No
34957,smoke has a prerequisite of money,No
34958,smoke has a prerequisite of money,No
34959,delight entails step,No
34960,smoke has a prerequisite of money,No
34961,lamp is usually located at new york,No
34962,smoke has a prerequisite of money,No
34963,withers is part of kislev,No
34964,junk mail is usually located at cabinet,No
34965,smoke has a prerequisite of money,No
34966,researchers is usually located at basement,No
34967,smoke has a prerequisite of money,No
34968,bride and groom is usually located at desk,No
34969,smoke has a prerequisite of money,No
34970,smoke has a prerequisite of money,No
34971,smoke has a prerequisite of money,No
34972,ambulacrum is part of new york,No
34973,smoke has a prerequisite of money,No
34974,smoke has a prerequisite of money,No
34975,smoke has a prerequisite of money,No
34976,smoke has a prerequisite of money,No
34977,smoke has a prerequisite of money,No
34978,column is capable of rebel,No
34979,smoke has a prerequisite of money,No
34980,smoke has a prerequisite of money,No
34981,traveling has a subevent of run,No
34982,smoke has a prerequisite of money,No
34983,smoke has a prerequisite of money,No
34984,audience is capable of find truffle,No
34985,smoke has a prerequisite of money,No
34986,smoke has a prerequisite of money,No
34987,smoke has a prerequisite of money,No
34988,smoke has a prerequisite of money,No
34989,smoke has a prerequisite of money,No
34990,teaching other people has a subevent of gain knowledge,No
34991,pizzeria is usually located at funeral,No
34992,smoke has a prerequisite of money,No
34993,smoke has a prerequisite of money,No
34994,smoke has a prerequisite of money,No
34995,smoke has a prerequisite of money,No
34996,smoke has a prerequisite of money,No
34997,smoke has a prerequisite of money,No
34998,smoke has a prerequisite of money,No
34999,smoke has a prerequisite of money,No
35000,smoke has a prerequisite of money,No
35001,smoke has a prerequisite of money,No
35002,smoke has a prerequisite of money,No
35003,museum is usually used for recieving packages,No
35004,smoke has a prerequisite of money,No
35005,flab causes desire of read newspaper,No
35006,smoke has a prerequisite of money,No
35007,open gift has a prerequisite of get into accident,No
35008,salton sea is part of africa,No
35009,smoke has a prerequisite of money,No
35010,magician is capable of annoy,No
35011,smoke has a prerequisite of money,No
35012,smoke has a prerequisite of money,No
35013,smoke has a prerequisite of money,No
35014,smoke has a prerequisite of money,No
35015,smoke has a prerequisite of money,No
35016,smoke has a prerequisite of money,No
35017,eating lunch is usually used for wasting time,No
35018,smoke has a prerequisite of money,No
35019,smoke has a prerequisite of money,No
35020,mourner is usually located at house,No
35021,knick knack is usually located at dinner,No
35022,smoke has a prerequisite of money,No
35023,smoke has a prerequisite of money,No
35024,smoke has a prerequisite of money,No
35025,smoke has a prerequisite of money,No
